APP,Title,Message,Objective,Location,Instant
Messages,Friend,Let's meet up when you're free.,Skip your next move,,False
Messages,Roommate,Grab some snacks from CVS at Blandfrd.,Reach this stop,Blandfrd,False
Boston Transit,Express Train,Express Train reported near Charles.,Skip the next stop,,True
Dunkin,Offer,Special deal at Dunkin'!,Continue moving without delay,,False
Calendar,Reminder,Reminder: meeting at Paul!,Reach this stop,Paul,False
Dunkin,Freebie,Special deal at Dunkin'!,Continue moving without delay,,False
Calendar,Reminder,Reminder: meeting at Savin!,Reach this stop,Savin,False
Messages,Roommate,Let's meet up when you're free.,Skip your next move,,False
Messages,Colleague,Pick up any supplies you need.,Skip your next move,,False
Messages,Dad,Pick up any supplies you need.,Skip your next move,,False
Dunkin,Rewards,Special deal at Dunkin'!,Continue moving without delay,,False
Calendar,Reminder,Reminder: meeting at Fairbanks!,Reach this stop,Fairbanks,False
Calendar,Event,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Messages,Colleague,Grab some snacks from CVS at Medford.,Reach this stop,Medford,False
Dunkin,Rewards,Special deal at Dunkin'!,Continue moving without delay,,False
Dunkin,Special Discount,Special deal at Dunkin' near QuincyAdams!,Visit this spot to continue,QuincyAdams,False
Boston Transit,Slowdown,Slowdown reported near BackBay.,Move forward by 1 stop for 2 turns,,True
Calendar,Event,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Messages,Boss,Grab some snacks for the trip.,Move forward by 2 stops,,False
Boston Transit,Delay,Delay reported near Tufts.,Pause for 2 turns,,True
Messages,Roommate,Let's meet up when you're free.,Skip your next move,,False
Calendar,Reminder,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Messages,Friend,Grab some snacks from Star Market at Hynes.,Reach this stop,Hynes,False
Dunkin,Rewards,Special deal at Dunkin'!,Continue moving without delay,,False
Dunkin,Freebie,Special deal at Dunkin'!,Continue moving without delay,,False
Boston Transit,Delay,Delay reported.,Pause for 2 turns,,True
Dunkin,Freebie,Special deal at Dunkin' near Copley!,Visit this spot to continue,Copley,False
Calendar,Alarm,Reminder: meeting at Community!,Reach this stop,Community,False
Calendar,Reminder,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Messages,Friend,Meet me at Bowdoin.,Reach this stop,Bowdoin,False
Messages,Sister,Pick up supplies from CVS—I'll be waiting.,Visit this stop within 2 turns,Braintree,False
Boston Transit,Slowdown,Slowdown reported.,Move forward by 1 stop for 2 turns,,True
Boston Transit,Express Train,Express Train reported.,Skip the next stop,,True
Boston Transit,Slowdown,Slowdown reported.,Move forward by 1 stop for 2 turns,,True
Boston Transit,Slowdown,Slowdown reported.,Move forward by 1 stop for 2 turns,,True
Messages,Roommate,Pick up any supplies you need.,Skip your next move,,False
Boston Transit,Emergency Stop,Emergency Stop reported.,Stop at your next station,,True
Dunkin,Rewards,Special deal at Dunkin'!,Continue moving without delay,,False
Calendar,Event,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Messages,Mom,Let's meet up when you're free.,Skip your next move,,False
Boston Transit,Express Train,Express Train reported.,Skip the next stop,,True
Boston Transit,Emergency Stop,Emergency Stop reported.,Stop at your next station,,True
Messages,Boss,Meet me at Cleveland.,Reach this stop,Cleveland,False
Dunkin,Offer,Special deal at Dunkin'!,Continue moving without delay,,False
Calendar,Alarm,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Calendar,Event,Reminder: meeting at Airport!,Reach this stop,Airport,False
Boston Transit,Delay,Delay reported.,Pause for 2 turns,,True
Messages,Boss,Grab some snacks for the trip.,Move forward by 2 stops,,False
Calendar,Event,Reminder: meeting at Fairbanks!,Reach this stop,Fairbanks,False
Boston Transit,Express Train,Express Train reported near Hynes.,Skip the next stop,,True
Calendar,Reminder,Reminder: meeting at Shawmut!,Reach this stop,Shawmut,False
Calendar,Alarm,Reminder: meeting at Green!,Reach this stop,Green,False
Messages,Boss,Let's meet up when you're free.,Skip your next move,,False
Calendar,Alarm,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Boston Transit,Emergency Stop,Emergency Stop reported.,Stop at your next station,,True
Calendar,Event,Reminder: meeting at Aquarium!,Reach this stop,Aquarium,False
Messages,Friend,Pick up supplies from CVS—I'll be waiting.,Visit this stop within 2 turns,Braintree,False
Boston Transit,Slowdown,Slowdown reported near Wellington.,Move forward by 1 stop for 2 turns,,True
Dunkin,Offer,Special deal at Dunkin'!,Continue moving without delay,,False
Dunkin,Special Discount,Special deal at Dunkin'!,Continue moving without delay,,False
Messages,Sister,Pick up supplies from Target—I'll be waiting.,Visit this stop within 2 turns,Hawes,False
Boston Transit,Express Train,Express Train reported.,Skip the next stop,,True
Calendar,Event,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Dunkin,Rewards,Special deal at Dunkin'!,Continue moving without delay,,False
Messages,Roommate,Let's meet up when you're free.,Skip your next move,,False
Dunkin,Freebie,Special deal at Dunkin'!,Continue moving without delay,,False
Boston Transit,Emergency Stop,Emergency Stop reported.,Stop at your next station,,True
Dunkin,Freebie,Special deal at Dunkin' near Kent!,Visit this spot to continue,Kent,False
Calendar,Alarm,Reminder: important meeting coming up!,Move 3 stops without switching lines,,False
Boston Transit,Delay,Delay reported near Beaconsfield.,Pause for 2 turns,,True
Dunkin,Offer,Special deal at Dunkin'!,Continue moving without delay,,False
Dunkin,Special Discount,Special deal at Dunkin' near Braintree!,Visit this spot to continue,Braintree,False
Dunkin,Offer,Special deal at Dunkin' near Blandfrd!,Visit this spot to continue,Blandfrd,False
